ID,Recency,Frequency,Monetary,Cluster
1,275,1,372000,0
2,76,1,442000,1
3,49,2,618000,1
4,42,1,94000,1
5,215,2,705000,0
6,130,2,818000,1
7,287,1,333000,0
8,212,1,188000,0
9,177,2,635000,1
10,283,1,350000,0
11,42,5,1451000,1
12,76,1,750000,1
13,282,2,200000,0
14,67,1,690000,1
15,53,2,2500000,1
16,328,2,710000,0
17,167,1,90000,1
18,218,4,1066000,0
19,230,1,389000,0
20,315,1,356000,0
21,198,2,857000,0
22,121,1,316000,1
23,104,1,272000,1
24,285,1,425000,0
25,246,2,2030000,0
26,148,1,225000,1
27,60,1,359000,1
28,316,1,694000,0
29,313,1,147000,0
30,47,1,384000,1
31,277,1,84000,0
32,18,5,3951000,1
33,76,1,174000,1
34,59,1,728000,1
35,127,1,493000,1
36,250,1,225000,0
37,362,1,169000,0
38,258,2,290000,0
39,225,1,90000,0
40,250,1,660000,0
41,118,2,336000,1
42,326,1,111000,0
43,147,1,180000,1
44,380,1,164000,0
45,5,1,196000,1
46,229,1,175000,0
47,100,1,600000,1
48,145,1,98000,1
49,252,1,315000,0
50,317,1,151000,0
51,290,1,179000,0
52,221,1,158000,0
53,252,2,844000,0
54,380,1,90000,0
55,315,2,480000,0
56,13,1,286000,1
57,270,1,477000,0
58,107,1,308000,1
59,65,1,242000,1
60,253,1,691000,0
61,218,1,295000,0
62,102,2,167000,1
63,197,1,92000,0
64,121,1,437000,1
65,116,2,863000,1
66,361,1,127000,0
67,165,2,1269000,1
68,289,1,113000,0
69,30,1,168000,1
70,348,1,156000,0
71,260,2,581000,0
72,212,2,310000,0
73,47,1,104000,1
74,301,2,923000,0
75,117,1,384000,1
76,348,1,542000,0
77,109,1,408000,1
78,332,1,90000,0
79,174,1,695000,1
80,192,1,522000,0
81,247,1,222000,0
82,318,1,361000,0
83,351,3,1343000,0
84,285,1,289000,0
85,271,2,312000,0
86,372,1,188000,0
87,282,1,376000,0
88,79,1,303000,1
89,80,1,639000,1
90,303,1,199000,0
91,234,1,220000,0
92,282,1,168000,0
93,157,5,1657000,1
94,290,1,159000,0
95,106,3,763000,1
96,40,2,873000,1
97,230,1,706000,0
98,249,1,70000,0
99,115,1,493000,1
100,142,2,548000,1
101,286,2,620000,0
102,178,3,824000,1
103,143,1,147000,1
104,108,1,650000,1
105,25,1,197000,1
106,111,1,316000,1
107,131,2,196000,1
108,256,1,165000,0
109,212,1,410000,0
110,231,1,115000,0
111,120,1,96000,1
112,143,1,149000,1
113,259,1,209000,0
114,222,2,426000,0
115,128,1,104000,1
116,254,2,831000,0
117,263,3,520000,0
118,78,1,149000,1
119,257,1,139000,0
120,316,2,996000,0
121,229,1,105000,0
122,96,2,543000,1
123,234,1,410000,0
124,130,1,112000,1
125,139,1,245000,1
126,115,1,49000,1
127,198,1,196000,0
128,251,1,382000,0
129,286,2,525000,0
130,318,2,1229000,0
131,13,1,48000,1
132,372,1,126000,0
133,200,2,708000,0
134,200,1,608000,0
135,170,1,320000,1
136,360,1,621000,0
137,136,1,90000,1
138,236,1,270000,0
139,179,2,437000,1
140,322,1,355000,0
141,218,2,503000,0
142,286,1,286000,0
143,31,1,820000,1
144,317,1,270000,0
145,187,1,57000,1
146,374,1,180000,0
147,320,1,178000,0
148,333,1,169000,0
149,194,1,237000,0
150,173,1,750000,1
151,368,1,354000,0
152,327,3,325000,0
153,13,4,1961000,1
154,365,1,46000,0
155,4,2,134000,1
156,225,1,1137000,0
157,289,1,159000,0
158,197,2,373000,0
159,258,1,58000,0
160,351,1,96000,0
161,183,1,511000,1
162,76,1,395000,1
163,372,1,270000,0
164,32,1,632000,1
165,9,1,96000,1
166,146,2,385000,1
167,9,3,1978000,1
168,371,1,155000,0
169,83,1,234000,1
170,225,2,2232000,0
171,219,3,672000,0
172,324,1,622000,0
173,147,1,345000,1
174,242,2,565000,0
175,177,2,843000,1
176,198,1,395000,0
177,228,1,190000,0
178,223,1,348000,0
179,374,1,224000,0
180,282,3,810000,0
181,124,1,334000,1
182,30,4,1499000,1
183,208,2,853000,0
184,302,1,670000,0
185,80,2,1430000,1
186,250,1,395000,0
187,20,1,98000,1
188,126,1,98000,1
189,344,1,330000,0
190,355,1,600000,0
191,62,1,119000,1
192,86,1,835000,1
193,260,1,233000,0
194,186,1,175000,1
195,289,1,402000,0
196,303,1,358000,0
197,311,1,308000,0
198,54,4,2221008,1
199,115,2,585000,1
200,240,1,154000,0
201,328,2,288000,0
202,153,1,410000,1
203,255,2,542000,0
204,311,1,87000,0
205,24,1,426000,1
206,65,2,1094000,1
207,387,1,92000,0
208,227,1,240000,0
209,255,1,750000,0
210,322,1,264000,0
211,222,1,155000,0
212,265,1,127000,0
213,172,3,299000,1
214,11,1,210000,1
215,20,1,420000,1
216,224,1,370000,0
217,102,3,1014000,1
218,131,1,165000,1
219,258,1,114000,0
220,86,1,130000,1
221,54,1,200000,1
222,229,1,70000,0
223,249,4,2157000,0
224,145,2,271000,1
225,213,1,258000,0
226,228,1,125000,0
227,135,1,276000,1
228,100,1,254000,1
229,313,1,209000,0
230,244,1,319000,0
231,6,1,490000,1
232,195,2,269000,0
233,194,3,650000,0
234,198,1,135000,0
235,198,1,268000,0
236,352,2,138000,0
237,153,1,395000,1
238,366,1,500000,0
239,160,1,337000,1
240,303,1,109000,0
241,62,6,2750000,1
242,234,1,395000,0
243,199,1,223000,0
244,250,1,316000,0
245,126,1,392000,1
246,346,1,110000,0
247,360,1,240000,0
248,333,1,334000,0
249,268,1,758000,0
250,278,1,316000,0
251,54,1,358000,1
252,108,2,231000,1
253,191,1,357000,0
254,190,1,375000,0
255,290,1,110000,0
256,200,3,1597000,0
257,327,1,261000,0
258,188,3,1566000,1
259,249,1,338000,0
260,116,1,199000,1
261,289,1,49000,0
262,122,1,974000,1
263,318,1,254000,0
264,235,1,190000,0
265,231,1,285000,0
266,93,1,232000,1
267,45,4,866000,1
268,244,3,505000,0
269,277,1,98000,0
270,130,1,240000,1
271,55,3,2656000,1
272,66,2,1211000,1
273,236,1,205000,0
274,54,1,1065000,1
275,242,1,299000,0
276,236,2,1256000,0
277,233,2,1289000,0
278,262,1,285000,0
279,191,1,530000,0
280,176,1,375000,1
281,105,1,194000,1
282,256,1,420000,0
283,63,2,297000,1
284,94,1,126000,1
285,225,1,194000,0
286,94,4,648000,1
287,259,1,375000,0
288,175,1,470000,1
289,237,1,122000,0
290,190,1,348000,0
291,124,2,364000,1
292,111,1,466000,1
293,62,1,141000,1
294,88,1,135000,1
295,160,1,156000,1
296,223,1,285000,0
297,130,2,477000,1
298,5,1,275000,1
299,46,1,121000,1
300,214,2,585000,0
301,361,1,160000,0
302,248,2,716000,0
303,76,1,430000,1
304,186,1,199000,1
305,323,1,295000,0
306,217,3,1047000,0
307,367,1,370000,0
308,228,2,750000,0
309,304,2,523000,0
310,153,1,265000,1
311,133,4,1391000,1
312,220,1,140000,0
313,291,1,224000,0
314,174,1,485000,1
315,247,1,196000,0
316,126,2,482000,1
317,341,2,556000,0
318,174,1,444000,1
319,223,1,235000,0
320,237,1,435000,0
321,323,1,219000,0
322,366,2,525000,0
323,312,1,554000,0
324,229,1,187000,0
325,356,2,705000,0
326,62,10,5062000,1
327,103,1,456000,1
328,42,2,583000,1
329,34,1,570000,1
330,130,2,1275000,1
331,364,1,80000,0
332,232,1,90000,0
333,186,2,287000,1
334,289,1,319000,0
335,242,1,230000,0
336,322,1,175000,0
337,166,1,265000,1
338,145,1,98000,1
339,165,2,682000,1
340,227,2,1869000,0
341,13,1,115000,1
342,157,1,196000,1
343,229,1,96000,0
344,151,1,150000,1
345,141,1,313000,1
346,146,1,162000,1
347,198,3,2529000,0
348,369,1,90000,0
349,193,1,323000,0
350,69,1,247000,1
351,107,8,3273000,1
352,138,1,228000,1
353,184,1,217000,1
354,253,1,139000,0
355,26,2,902000,1
356,350,1,49000,0
357,132,1,188000,1
358,166,1,880000,1
359,286,1,173000,0
360,271,1,313000,0
361,54,1,358000,1
362,323,1,330000,0
363,315,1,253000,0
364,75,1,240000,1
365,282,4,1721000,0
366,174,1,375000,1
367,47,1,417000,1
368,331,1,226000,0
369,285,1,199000,0
370,164,1,473000,1
371,306,1,187000,0
372,319,1,265000,0
373,116,1,192000,1
374,369,1,235000,0
375,53,2,599000,1
376,45,1,232000,1
377,345,1,215000,0
378,300,2,2144001,0
379,9,4,1015000,1
380,361,1,1514000,0
381,300,1,320000,0
382,236,1,184000,0
383,45,1,483000,1
384,135,2,290000,1
385,357,1,1071000,0
386,121,1,557000,1
387,214,1,98000,0
388,46,1,32000,1
389,112,1,422000,1
390,278,1,650000,0
391,218,2,778000,0
392,209,1,75000,0
393,289,1,242000,0
394,137,1,315000,1
395,229,1,375000,0
396,80,1,282000,1
397,228,1,365000,0
398,352,1,210000,0
399,13,1,962000,1
400,170,1,375000,1
401,116,1,49000,1
402,234,2,270000,0
403,121,1,55000,1
404,261,1,375000,0
405,313,2,949000,0
406,289,2,1308000,0
407,285,1,136000,0
408,55,3,682000,1
409,54,1,67000,1
410,376,1,483000,0
411,380,1,566000,0
412,128,2,648000,1
413,349,1,140000,0
414,87,1,314000,1
415,288,1,167000,0
416,286,2,675000,0
417,311,1,503000,0
418,316,1,336000,0
419,150,1,266000,1
420,20,1,199000,1
421,80,1,40000,1
422,241,1,127000,0
423,156,1,94000,1
424,214,1,375000,0
425,321,1,225000,0
426,130,1,480000,1
427,225,2,889000,0
428,122,3,1514000,1
429,127,1,215000,1
430,347,1,105000,0
431,347,1,667000,0
432,6,1,149000,1
433,365,2,786000,0
434,230,1,375000,0
435,83,1,465000,1
436,212,5,1488000,0
437,198,1,135000,0
438,204,2,349000,0
439,222,4,1610000,0
440,97,1,198000,1
441,337,1,798000,0
442,327,1,225000,0
443,284,1,126000,0
444,256,2,785000,0
445,256,1,636000,0
446,195,1,366000,0
447,34,1,756000,1
448,67,4,2066000,1
449,97,1,300000,1
450,87,1,123000,1
451,160,1,217000,1
452,290,1,576000,0
453,193,1,446000,0
454,192,1,211000,0
455,215,1,692000,0
456,176,1,282000,1
457,248,2,622000,0
458,178,1,820000,1
459,277,1,420000,0
460,124,2,950000,1
461,320,1,190000,0
462,153,1,342000,1
463,95,2,736000,1
464,230,1,190000,0
465,304,1,424000,0
466,213,1,258000,0
467,333,2,895000,0
468,38,1,96000,1
469,271,4,1025000,0
470,263,1,394000,0
471,199,2,634000,0
472,195,1,246000,0
473,288,1,451000,0
474,33,1,480000,1
475,143,4,1950000,1
476,195,1,188000,0
477,163,1,228000,1
478,243,1,410000,0
479,320,1,79000,0
480,304,1,842000,0
481,73,2,445000,1
482,288,1,265000,0
483,267,1,730000,0
484,42,3,484000,1
485,368,2,1274000,0
486,231,1,410000,0
487,90,2,924000,1
488,339,1,426000,0
489,305,1,716000,0
490,291,1,191000,0
491,0,3,2682500,1
492,171,2,527000,1
493,314,1,269000,0
494,290,1,172000,0
495,51,1,217000,1
496,125,1,134000,1
497,363,1,469000,0
498,53,1,290000,1
499,104,1,537000,1
500,230,1,94000,0
501,374,1,449000,0
502,232,2,163000,0
503,72,2,285000,1
504,351,1,265000,0
505,58,1,343000,1
506,112,1,326000,1
507,262,1,410000,0
508,375,1,293000,0
509,278,1,530000,0
510,67,1,417000,1
511,118,1,169000,1
512,276,1,265000,0
513,261,1,110000,0
514,87,2,264000,1
515,356,1,92000,0
516,170,1,69000,1
517,333,1,85000,0
518,132,1,135000,1
519,306,2,394000,0
520,289,2,480000,0
521,287,2,730000,0
522,253,1,375000,0
523,258,1,284000,0
524,158,1,594000,1
525,330,1,205000,0
526,212,1,70000,0
527,341,1,288000,0
528,351,1,692000,0
529,320,1,235000,0
530,246,1,180000,0
531,286,2,895000,0
532,198,1,124000,0
533,212,1,524000,0
534,13,1,102000,1
535,253,3,823000,0
536,272,1,320000,0
537,341,3,1095000,0
538,285,1,127000,0
539,95,1,992000,1
540,75,1,122000,1
541,117,1,440000,1
542,322,1,180000,0
543,288,1,285000,0
544,339,1,164000,0
545,362,1,190000,0
546,140,1,147000,1
547,209,1,292000,0
548,374,1,469000,0
549,362,1,175000,0
550,65,4,2592000,1
551,131,1,156000,1
552,283,1,180000,0
553,66,3,590000,1
554,349,1,220000,0
555,105,1,431000,1
556,194,2,255000,0
557,155,1,225000,1
558,112,1,240000,1
559,207,1,410000,0
560,66,1,49000,1
561,216,1,225000,0
562,213,1,123000,0
563,216,1,1439000,0
564,353,2,380000,0
565,195,1,222000,0
566,265,1,610000,0
567,301,1,150000,0
568,311,1,277000,0
569,146,1,262000,1
570,368,1,208000,0
571,320,1,433000,0
572,330,1,180000,0
573,158,1,265000,1
574,285,1,196000,0
575,338,1,245000,0
576,152,1,394000,1
577,344,1,360000,0
578,118,1,1190000,1
579,42,1,153000,1
580,197,1,209000,0
581,130,1,145000,1
582,267,1,245000,0
583,157,1,164000,1
584,242,1,67000,0
585,350,2,191000,0
586,289,1,77000,0
587,130,1,192000,1
588,140,1,413000,1
589,354,1,135000,0
590,40,1,395000,1
591,227,1,322000,0
592,307,1,185000,0
593,322,2,607000,0
594,170,1,375000,1
595,209,1,410000,0
596,336,1,124000,0
597,13,1,151000,1
598,232,1,116000,0
599,288,2,592000,0
600,198,1,580000,0
601,209,1,178000,0
602,283,1,150000,0
603,260,2,338000,0
604,63,1,360000,1
605,356,1,88000,0
606,303,1,183000,0
607,121,2,325000,1
608,53,1,253000,1
609,194,1,325000,0
610,284,2,325000,0
611,204,1,209000,0
612,206,1,315000,0
613,315,1,175000,0
614,102,2,5493000,1
615,307,3,1867000,0
616,134,4,3888000,1
617,288,1,480000,0
618,124,1,48000,1
619,310,1,350000,0
620,26,1,216000,1
621,195,1,205000,0
622,261,1,224000,0
623,187,1,320000,1
624,209,1,75000,0
625,107,1,261000,1
626,135,1,251000,1
627,232,1,410000,0
628,197,1,195000,0
629,51,2,438000,1
630,335,5,980080,0
631,193,2,510000,0
632,142,1,115000,1
633,143,2,617000,1
634,19,1,724000,1
635,159,1,113000,1
636,347,1,128000,0
637,108,1,375000,1
638,305,1,205000,0
639,249,1,550000,0
640,365,1,270000,0
641,307,1,115000,0
642,321,1,63000,0
643,225,1,169000,0
644,319,1,92000,0
645,265,1,100000,0
646,342,1,216000,0
647,174,1,396000,1
648,27,1,110000,1
649,11,1,144000,1
650,159,1,469000,1
651,16,1,631000,1
652,313,1,329000,0
653,178,1,471000,1
654,214,1,45000,0
655,358,1,279000,0
656,303,1,339000,0
657,81,1,147000,1
658,305,1,315000,0
659,334,1,170000,0
660,104,1,48000,1
661,268,1,195000,0
662,255,1,270000,0
663,75,2,618000,1
664,314,1,223000,0
665,310,1,720000,0
666,265,2,312000,0
667,272,1,392000,0
668,66,2,717000,1
669,89,2,935000,1
